app_id,name,slug,success,match_method,document_id,error
60d09bd0-197b-4dcc-988b-0911f450cb9e,Splitwise,splitwise,True,Skipped - pricing data already exists (Matched by app_id),67db0bd000f5576d756f7c1c,
fbd45889-c845-4ec4-8eb2-c71148d27d56,AddEvent,addevent,True,Skipped - pricing data already exists (Matched by app_id),67db0c4c00f5576d756f8b22,
503c0a26-c615-48e6-9a82-9acff77da1b7,Scoro,scoro,True,Skipped - pricing data already exists (Matched by app_id),67db0c4c00f5576d756f8b29,
155c962e-0afe-4be2-b4fc-57745930d5c3,StealthSeminar,stealthseminar,True,Skipped - pricing data already exists (Matched by app_id),67db0c4c00f5576d756f8b2b,
712f7df5-4a7b-41ff-bd52-4cd3e9880e75,thanks.io,thanksio,True,Skipped - pricing data already exists (Matched by app_id),67db0c4c00f5576d756f8b2e,
78ab44e2-2fa1-4629-ab35-be7729c75148,FastField Mobile Forms,fastfield,True,Skipped - pricing data already exists (Matched by app_id),67db0cc400f5576d756f99ea,
c228c720-0ff5-4b07-be93-1dcb419f935c,Urable,urable,True,Skipped - pricing data already exists (Matched by app_id),67db0cc400f5576d756f99eb,
a8d53e40-a5a9-4af6-8861-14ac9bff6a3c,FreeAgent,freeagent,True,Skipped - pricing data already exists (Matched by app_id),67db0d3900f5576d756fa76b,
bfd90b77-1248-40e1-8388-707b90ef04b3,BaseLinker,baselinker,True,Skipped - pricing data already exists (Matched by app_id),67db0da500f5576d756fb3ed,
a96bf312-857c-4700-abcb-19c93cd798a3,Caspio,caspio,True,Skipped - pricing data already exists (Matched by app_id),67db0da500f5576d756fb3f6,
219d8728-275b-4390-a102-8f66c282ebe0,Planyo Online Booking,planyo-online-booking,True,Skipped - pricing data already exists (Matched by app_id),67db141600f5576d75706d88,
3fc8d819-0d75-405b-aabd-e330963ca2b2,SkedPal,skedpal,True,Skipped - pricing data already exists (Matched by app_id),67db0e0e00f5576d756fc112,
1e3cdd63-426e-4f46-8d4c-57bbb426b8cd,Creatomate,creatomate,True,Skipped - pricing data already exists (Matched by app_id),67db0e0e00f5576d756fc119,
aa947652-2b8d-4cbb-9d06-3ecd2eaf380e,LendingPad,lendingpad,True,Skipped - pricing data already exists (Matched by app_id),67db0e0e00f5576d756fc11c,
c1e7bc7c-0c2f-4e7f-8620-9e23e9b30b6e,Adafruit IO,adafruit-io,True,Skipped - pricing data already exists (Matched by app_id),67db0e7300f5576d756fce2d,
5659777f-099d-4e37-9d6f-239179a5c868,Relevance AI,relevance-ai,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8c3,
8566127f-05b8-4eeb-9a3b-5d3eba00b17d,Buy Me a Coffee,buy-me-a-coffee,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8da,
33e193e2-ebbb-4b3c-9d94-dc5568711647,Transistor.fm,transistorfm,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8c6,
d7d83233-48fd-4a82-b856-2e95e681f5bb,Memberful,memberful,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8ce,
952cca22-a4aa-480f-b0b6-f10d8bf63557,AppSheet,appsheet,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8d1,
42e779d1-3a55-4837-9cc7-670d3eb12e8f,GetAccept,getaccept,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8d2,
036e1622-ef67-4d67-8804-6023485691b5,GoProposal,goproposal,True,Skipped - pricing data already exists (Matched by app_id),67db0ecc00f5576d756fd8d3,
c52d63bb-50d1-4640-95c7-273d51ec5986,Yousign,yousign,True,Skipped - pricing data already exists (Matched by app_id),67db0f2000f5576d756fe35c,
57f9b62a-f570-4680-a4f3-a338d35f4154,InvestorLift,investorlift,True,Skipped - pricing data already exists (Matched by app_id),67db0f2000f5576d756fe362,
cfae49a9-f44d-4655-954b-1e99f9fe8040,Typefully,typefully,True,Skipped - pricing data already exists (Matched by app_id),67db0f2000f5576d756fe36b,
d564126e-fffb-4dcb-9099-b7345c9ed581,FacturaDirecta,facturadirecta,True,Skipped - pricing data already exists (Matched by app_id),67db0f8100f5576d756fee6b,
1183ca9d-af33-4b2e-8ffc-0927e09b2f41,WaiverForever,waiverforever,True,Skipped - pricing data already exists (Matched by app_id),67db0f8100f5576d756fee6c,
d7ebad88-4912-45a5-8f10-7aae3f4487bf,Deputy,deputy,True,Skipped - pricing data already exists (Matched by app_id),67db0f8100f5576d756fee6d,
39beac82-f0c8-4b1d-8dc0-85ecf54043e4,BrightHR,brighthr,True,Skipped - pricing data already exists (Matched by app_id),67db0f8100f5576d756fee70,
7dea26cb-c493-499c-a2e8-c6b057d114e8,Highrise,highrise,True,Skipped - pricing data already exists (Matched by app_id),67db0f8100f5576d756fee7b,
e8752160-ea76-4775-b6bd-93baafca628c,Textline,textline,True,Skipped - pricing data already exists (Matched by app_id),67db0fe800f5576d756ffa5a,
784ed34b-25a9-49cc-bd59-e591d537b18d,Kiwify,kiwify,True,Skipped - pricing data already exists (Matched by app_id),67db0fe800f5576d756ffa61,
47cb86e5-82d4-4b89-83de-d283875bb55c,Pointerpro,pointerpro,True,Skipped - pricing data already exists (Matched by app_id),67db0fe800f5576d756ffa65,
a5cc0158-d566-4d3a-bc8f-d37c096ffd3f,Mobile Text Alerts,mobile-text-alerts,True,Skipped - pricing data already exists (Matched by app_id),67db0fe800f5576d756ffa66,
ba281aee-e51f-4ea5-8f4e-c67db9ef4bf1,Remember The Milk,remember-the-milk,True,Skipped - pricing data already exists (Matched by app_id),67db0fe800f5576d756ffa69,
e0ede994-f566-42e2-91ce-0680a185b49b,Chatfuel,chatfuel,True,Skipped - pricing data already exists (Matched by app_id),67db0fe800f5576d756ffa6f,
d564bb7f-6c49-49e9-900d-55cfb530c394,PDF4me,pdf4me,True,Skipped - pricing data already exists (Matched by app_id),67db103a00f5576d7570037d,
f02b0c7d-b13c-4147-9c4c-b293c4f42e59,Horoshop,horoshop,True,Skipped - pricing data already exists (Matched by app_id),67db103a00f5576d75700389,
d30f6f9b-c1d4-475b-818f-bc69d12f49e0,Supernormal,supernormal,True,Skipped - pricing data already exists (Matched by app_id),67db103a00f5576d75700384,
91636415-647c-4c7c-b4bf-7f53685a7977,Magento,magento,True,Skipped - pricing data already exists (Matched by app_id),67db13fe00f5576d75706c31,
12d1df9b-61a7-4aa9-9426-fbbee6a68dda,SavvyCal,savvycal,True,Skipped - pricing data already exists (Matched by app_id),67db103a00f5576d7570038c,
9b0b26f8-1967-4987-9263-3e1bbd4f7f4b,ME-QR QR Code,me-qr-qr-code,True,Skipped - pricing data already exists (Matched by app_id),67db103a00f5576d7570038e,
242cbe83-27a8-49c1-822a-a9dfae0be9e2,Whova,whova,True,Skipped - pricing data already exists (Matched by app_id),67db10ef00f5576d75701b6e,
f72cfc0d-5140-40cf-a836-d117cfa33b6e,Aisle Planner,aisle-planner,True,Skipped - pricing data already exists (Matched by app_id),67db10ef00f5576d75701b76,
d6cf77f3-34cf-4ba0-a271-8c3421a90028,Text Request,text-request,True,Skipped - pricing data already exists (Matched by app_id),67db10ef00f5576d75701b7e,
1ad9b20a-f033-448c-a88f-672548f46d7e,Hubstaff,hubstaff,True,Skipped - pricing data already exists (Matched by app_id),67db10ef00f5576d75701b80,
bf460a14-23d1-468b-a01d-546fa69300bf,Trengo,trengo,True,Skipped - pricing data already exists (Matched by app_id),67db113f00f5576d75702455,
af730c61-1a5e-40c1-8fa7-279afeaf6cdf,Earth Class Mail,earth-class-mail,True,Skipped - pricing data already exists (Matched by app_id),67db129a00f5576d75704e38,
6eedb50a-cef7-4fc3-8268-f548f8eec638,CloudTalk,cloudtalk,True,Skipped - pricing data already exists (Matched by app_id),67db121600f5576d75703e46,
ea6bf497-8268-4de7-82b1-f057d6e0b73e,WebinarFuel,webinarfuel,True,Skipped - pricing data already exists (Matched by app_id),67db121600f5576d75703e48,
468f39f0-0fa1-4e3a-a126-4a37454bdebf,Urlooker,urlooker,True,Skipped - pricing data already exists (Matched by app_id),67db121600f5576d75703e52,
1437f639-6a57-4b7f-9905-499fb1ec0367,Referrizer,referrizer,True,Skipped - pricing data already exists (Matched by app_id),67db121600f5576d75703e54,
a312a3a1-e0bb-4cbd-9959-e21a93ed3d37,Guru,guru,True,Skipped - pricing data already exists (Matched by app_id),67db121600f5576d75703e5d,
017692f3-9f43-42ac-90d9-56e9d7497bcf,Twist,twist,True,Skipped - pricing data already exists (Matched by app_id),67db125a00f5576d7570467b,
6cc8a3ee-073e-482f-be54-9babe5c97016,GoodBarber,goodbarber,True,Skipped - pricing data already exists (Matched by app_id),67db125a00f5576d7570468a,
cd0d2d02-ef02-4997-a44a-e4ff1e99f135,Teachworks,teachworks,True,Skipped - pricing data already exists (Matched by app_id),67db129a00f5576d75704e34,
84296d8e-1fb3-4f6e-81f7-87b3febef75d,Formstack,formstack,True,Skipped - pricing data already exists (Matched by app_id),67dafcbe00f5576d756d9045,
7bbbd1c8-b401-4be6-9ca7-e5427e1b8e62,Skool,skool,True,Skipped - pricing data already exists (Matched by app_id),67daf47600f5576d756c786c,
cee6ee90-c2a6-48ab-8629-57320492f3e3,Microsoft Office 365,office-365,True,Skipped - pricing data already exists (Matched by app_id),67daf76000f5576d756cda35,
70069717-ceb9-4ae9-a0cc-986726790c9c,GitHub,github,True,Skipped - pricing data already exists (Matched by app_id),67daf76000f5576d756cda36,
3e5ea27b-f3e6-4695-a507-745c94a3a906,systeme.io,systemeio,True,Skipped - pricing data already exists (Matched by app_id),67daf76000f5576d756cda37,
225eb938-d566-44cd-84f8-68ec8704acd1,SQL Server,sql-server,True,Skipped - pricing data already exists (Matched by app_id),67db006300f5576d756e0926,
4c4223d8-86bc-4b09-ad68-df9a00e80e87,PayPal,paypal,True,Skipped - pricing data already exists (Matched by app_id),67daf93b00f5576d756d1a87,
591ccba7-ff40-4b00-9b88-26098ea1e8f4,Google Slides,google-slides,True,Skipped - pricing data already exists (Matched by app_id),67daf93b00f5576d756d1a8d,
8e3590b1-2df8-471b-bda5-043c56d53f40,Transcribe,transcribecom,True,Skipped - pricing data already exists (Matched by app_id),67db13d300f5576d757069c4,
c7af8e54-975c-4e26-a865-85bb67426d1b,Mighty Networks,mightynetworks,True,Skipped - pricing data already exists (Matched by app_id),67daf93b00f5576d756d1a90,
928e872f-4ea2-4421-bc84-11421e79f8fb,Uploadcare,uploadcare,True,Skipped - pricing data already exists (Matched by app_id),67db13d300f5576d757069d0,
93399047-8044-4de8-8069-867e56dfa00e,MaidCentral,maidcentral,True,Skipped - pricing data already exists (Matched by app_id),67db13e100f5576d75706a84,
77706322-b125-4510-8cd6-4f67adf3fe94,Zoho People,zoho-people,True,Skipped - pricing data already exists (Matched by app_id),67db13e100f5576d75706a85,
c69b083f-19ed-4d9b-b977-e4033042db1e,TeamGantt,teamgantt,True,Skipped - pricing data already exists (Matched by app_id),67db13e100f5576d75706a8a,
2d1dcd16-a809-4a97-b183-8b84340ac8e4,Everhour,everhour,True,Skipped - pricing data already exists (Matched by app_id),67db13e100f5576d75706a93,
d8967a7e-a6fe-4828-a32c-c0a7603d03fd,SiteCapture,sitecapture,True,Skipped - pricing data already exists (Matched by app_id),67db13e100f5576d75706a96,
9628ea2d-759a-4c47-82a4-098d5d423799,MySQL,mysql,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d5856,
f599a61c-ed63-4e67-ad19-138b4af7b8bc,Chatwork,chatwork,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d5857,
a3599a0e-45d6-4e26-b697-ffabbcd5c4dd,Linear,linear,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d585d,
1a97b98e-ac46-49e7-9007-29fac45e34f3,Basecamp 3,basecamp3,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d585f,
1e9e329c-0d8d-4870-a314-a0719ed5faab,Podio,podio,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d5863,
12ea61ad-720c-4c4d-956b-b3cd2f549ca8,GetResponse,getresponse,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d5864,
a7f32bfc-acd8-4c86-89c2-06db04322569,Fireflies.ai,fireflies,True,Skipped - pricing data already exists (Matched by app_id),67dafb2300f5576d756d5866,
d04c8fd7-4135-4572-bfc1-ce8f608c94df,MindManager,mindmanager-enterprise,True,Skipped - pricing data already exists (Matched by app_id),67db13f100f5576d75706b45,
abd56ca7-48bc-415f-bc1e-5a2403e9a748,Formidable Forms,formidable,True,Skipped - pricing data already exists (Matched by app_id),67dafcbe00f5576d756d9037,
1055073a-8dbe-4d3b-8615-d84f8e2b49f1,Grade.us,grade-us,True,Skipped - pricing data already exists (Matched by app_id),67db13fe00f5576d75706c34,
fac0d805-d747-4a1a-aae1-d3be703a54f4,KingSumo,kingsumo,True,Skipped - pricing data already exists (Matched by app_id),67db13fe00f5576d75706c35,
6dc30db9-7391-4a0c-93df-fb64ecd0ac70,Gumroad,gumroad,True,Skipped - pricing data already exists (Matched by app_id),67dafe8300f5576d756dc9a4,
d5b1e4ff-e7d9-4a26-8eab-d4bbc36fb804,Spotify,spotify,True,Skipped - pricing data already exists (Matched by app_id),67dafe8300f5576d756dc9aa,
3e075e92-45b6-4071-ba8d-55d3f58b801a,Revv,revv,True,Skipped - pricing data already exists (Matched by app_id),67db13fe00f5576d75706c46,
9718a5a1-d099-4163-9f2b-885c15f7791b,RunSignup,runsignup,True,Skipped - pricing data already exists (Matched by app_id),67db13fe00f5576d75706c49,
afd73afb-5d40-42ec-b91a-9af4a313a986,KanbanFlow,kanbanflow,True,Skipped - pricing data already exists (Matched by app_id),67db140b00f5576d75706cd1,
e5e439b3-18b3-4261-902f-fbcc0c29e13c,Mailjet,mailjet,True,Skipped - pricing data already exists (Matched by app_id),67db006300f5576d756e091f,
86fe9220-b48a-4777-954a-7020f7694512,Audienceful,audienceful,True,Skipped - pricing data already exists (Matched by app_id),67db140b00f5576d75706cdd,
9dbb5b7c-b516-444d-b95c-1400d827e9fa,Samdock,samdock,True,Skipped - pricing data already exists (Matched by app_id),67db140b00f5576d75706ce2,
a8fa62b2-a89a-4a54-9272-5efaf55bbb02,VideoAsk,videoask,True,Skipped - pricing data already exists (Matched by app_id),67db006300f5576d756e092e,
5663706d-a311-406f-83cd-c70485359486,BambooHR,bamboohr,True,Skipped - pricing data already exists (Matched by app_id),67db006300f5576d756e092f,
f01dd09c-0d38-47b9-ae32-1701930d2275,Google BigQuery,google-bigquery,True,Skipped - pricing data already exists (Matched by app_id),67db019b00f5576d756e3164,
c9f2d63c-6821-4a40-90e6-27f7739f1bf4,TrackVia,trackvia,True,Skipped - pricing data already exists (Matched by app_id),67db141600f5576d75706d8b,
